id,title,abstract,authors,year,source,category,pdf_url,url,scrape_status,similarity_score,is_pdf,access_url,rank,term_frequency
54,Accessible web development: Opportunities to improve the education and practice of web development with a screen reader,"… colleagues, and avoidance of design and front-end development. This work contributes to
… issues specific to web development and the strategies that blind web developers employ in …","C Ferrari, A Hurst",2021,ACM Transactions on Accessible Computing …,web developer,https://dl.acm.org/doi/pdf/10.1145/3458024,https://dl.acm.org/doi/abs/10.1145/3458024,pdf_failed,0.5222775107712452,True,https://dl.acm.org/doi/pdf/10.1145/3458024,1,3
86,AI AND WEB DEVELOPMENT,"… AI technologies and web development practices, … development projects faster and better.
Critical analysis in this study shows that AI is involved in shaping the future of web development…",RT Surampudi,2025,… Journal Of Engineering Technology Research & …,web developer,https://www.academia.edu/download/123531382/Jun_2025_13_1749785723_JUNE33.pdf,https://www.academia.edu/download/123531382/Jun_2025_13_1749785723_JUNE33.pdf,pdf_failed,0.49320329055638057,True,https://www.academia.edu/download/123531382/Jun_2025_13_1749785723_JUNE33.pdf,2,4
70,The rise of disappearing frameworks in web development,"… the next major phase in web development, addressing RQ3. … technologies used for web
development. Rather than trying to … as the next potential phase in mainstream web development. …","J Vepsäläinen, A Hellas, P Vuorimaa",2023,International Conference on Web …,web developer,https://arxiv.org/pdf/2304.01947,https://link.springer.com/chapter/10.1007/978-3-031-34444-2_23,pdf_downloaded,0.4866103994979196,True,https://arxiv.org/pdf/2304.01947,3,3
66,Llms in web development: Evaluating llm-generated php code unveiling vulnerabilities and limitations,"… web application security is essential [6]. The PHP server-side scripting language remains
integral to web development… its ongoing relevance in the web development landscape [8, 9]. …","R Tóth, T Bisztray, L Erdődi",2024,"… on Computer Safety, Reliability, and Security",web developer,https://arxiv.org/pdf/2404.14459,https://link.springer.com/chapter/10.1007/978-3-031-68738-9_34,pdf_downloaded,0.4282914683532257,True,https://arxiv.org/pdf/2404.14459,4,4
71,Machine learning for web development: A fusion,"… ) a web development scripting language also seems to be changing with time. Earlier it was
… for making dynamic web pages, interactive use of maps, animations, but the development in …","P Jain, PK Aggarwal, K Makar…",2021,Artificial Intelligence …,web developer,https://www.researchgate.net/profile/Archana-Singh-6/publication/352019506_IGDTUW_AIST-2020/links/60b5f52aa6fdcc476bdab903/IGDTUW-AIST-2020.pdf#page=61,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003150664-6/machine-learning-web-development-fusion-parita-jain-anupam-puneet-kumar-aggarwal-kshirja-makar-vineet-shrivastava-seema-maitrey,pdf_failed,0.42126726549118043,False,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003150664-6/machine-learning-web-development-fusion-parita-jain-anupam-puneet-kumar-aggarwal-kshirja-makar-vineet-shrivastava-seema-maitrey,5,4
97,Cognitive disabilities and web accessibility: a survey into the Brazilian web development community,"… online exploratory survey conducted with 105 web development professionals from different
… gap about web accessibility principles and guidelines. Our results confirmed that web devel…","TCPB Pichiliani, EB Pizzolato",2021,Journal on Interactive …,web developer,https://journals-sol.sbc.org.br/index.php/jis/article/download/982/1881,https://journals-sol.sbc.org.br/index.php/jis/article/view/982,pdf_downloaded,0.4187711605221827,False,https://journals-sol.sbc.org.br/index.php/jis/article/view/982,6,4
53,Web Developer and Tech Preneurs,"… of duties that are often referred to as web development. “Web development” is a term used
by web experts to describe the two main non-design components of creating websites: writing …","S Rashid, RK Gupta",2024,Skill Development and Start-Ups in …,web developer,,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003532545-15/web-developer-tech-preneurs-shafiya-rashid-gupta,no_pdf,0.4046137696283604,False,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003532545-15/web-developer-tech-preneurs-shafiya-rashid-gupta,7,2
90,Study on mvc framework for web development in php,"… (Model-View-Controller) framework for web development in PHP contains substantial societal
value. Initially, this study advances web development methods through a systematic and …","S Khan, AT Khanam",2023,Int. J. Sci. Res. Comput. Sci. Eng. Inf. Technol,web developer,https://www.academia.edu/download/106075119/CSEIT2390450.pdf,https://www.academia.edu/download/106075119/CSEIT2390450.pdf,pdf_failed,0.40321859392580367,True,https://www.academia.edu/download/106075119/CSEIT2390450.pdf,8,4
83,Program Pelatihan Web Development untuk Komunitas Maya,"… kursus atau pelatihan Web Development secara gratis … Web Development secara gratis,
sehingga dapat memberikan pemahaman dan pembelajaran mengenai pengembangan web …","A Sutedi, D Nursyaban, C Mutiara, D Sopiah…",2021,Jurnal PkM …,web developer,https://jurnal.itg.ac.id/index.php/miftek/article/download/964/758,https://jurnal.itg.ac.id/index.php/miftek/article/view/964,pdf_downloaded,0.3991261862527548,False,https://jurnal.itg.ac.id/index.php/miftek/article/view/964,9,5
59,Python for web development,"… Being a flexible language, it offers fast development of web-based applications. It offers
development using CGI and WSGI. Web development in Python is aided by the powerful …","U Patkar, P Singh, H Panse, S Bhavsar…",2022,International Journal of …,web developer,https://www.academia.edu/download/87115279/V11I4202208.pdf,https://www.academia.edu/download/87115279/V11I4202208.pdf,pdf_failed,0.3962193659196547,True,https://www.academia.edu/download/87115279/V11I4202208.pdf,10,4
